iter	Passed	Remaining
251	1254	1732
252	1258	1726
253	1263	1721
254	1268	1715
255	1272	1710
256	1277	1704
257	1282	1699
258	1286	1694
259	1291	1688
260	1296	1683
261	1301	1678
262	1305	1673
263	1310	1668
264	1315	1662
265	1319	1657
266	1324	1651
267	1329	1647
268	1334	1642
269	1339	1637
270	1344	1632
271	1348	1626
272	1353	1620
273	1358	1616
274	1363	1611
275	1368	1605
276	1372	1600
277	1377	1595
278	1381	1589
279	1386	1584
280	1390	1579
281	1395	1573
282	1400	1569
283	1405	1563
284	1409	1558
285	1414	1552
286	1419	1547
287	1424	1543
288	1430	1538
289	1434	1533
290	1438	1527
291	1443	1522
292	1447	1516
293	1452	1511
294	1456	1506
295	1461	1501
296	1466	1496
297	1471	1490
298	1475	1485
299	1481	1481
300	1485	1475
301	1490	1471
302	1495	1466
303	1500	1460
304	1504	1455
305	1509	1450
306	1514	1445
307	1518	1440
308	1523	1434
309	1528	1429
310	1533	1424
311	1537	1419
312	1542	1414
313	1547	1409
314	1552	1405
315	1557	1400
316	1562	1394
317	1566	1389
318	1571	1383
319	1576	1379
320	1580	1373
321	1584	1368
322	1589	1363
323	1593	1357
324	1598	1352
325	1603	1347
326	1607	1342
327	1612	1337
328	1617	1332
329	1622	1327
330	1627	1322
331	1631	1317
332	1636	1311
333	1640	1306
334	1644	1301
335	1649	1296
336	1653	1290
337	1658	1285
338	1663	1280
339	1667	1275
340	1672	1270
341	1677	1265
342	1682	1260
343	1687	1255
344	1692	1250
345	1696	1245
346	1701	1240
347	1706	1235
348	1710	1230
349	1715	1225
350	1720	1220
351	1724	1215
352	1730	1210
353	1735	1205
354	1740	1201
355	1745	1196
356	1749	1190
357	1753	1185
358	1758	1180
359	1762	1175
360	1767	1170
361	1772	1165
362	1776	1160
363	1781	1155
364	1785	1149
365	1790	1144
366	1794	1139
367	1799	1134
368	1803	1129
369	1808	1124
370	1813	1119
371	1818	1114
372	1830	1114
373	1835	1108
374	1839	1103
375	1844	1098
376	1848	1093
377	1852	1088
378	1857	1082
379	1861	1077
380	1866	1072
381	1870	1067
382	1875	1062
383	1879	1057
384	1883	1052
385	1888	1046
386	1892	1041
387	1896	1036
388	1900	1031
389	1905	1025
390	1909	1020
391	1914	1015
392	1918	1010
393	1922	1005
394	1927	1000
395	1931	995
396	1936	990
397	1941	985
398	1945	980
399	1950	975
400	1954	969
401	1958	964
402	1963	959
403	1968	954
404	1972	949
405	1977	945
406	1983	940
407	1987	935
408	1992	930
409	1997	925
410	2001	920
411	2006	915
412	2011	910
413	2016	905
414	2021	900
415	2026	896
416	2030	891
417	2034	886
418	2039	880
419	2044	876
420	2049	871
421	2054	866
422	2059	861
423	2063	856
424	2068	851
425	2073	847
426	2078	842
